2023-02-06 13:00:05.889 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA is already loaded
2023-02-06 13:00:05.896 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA is already loaded
2023-02-06 13:00:06.363 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = getConfig
2023-02-06 13:00:06.363 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 13:00:06.368 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = updateBinAttribute
2023-02-06 13:00:06.369 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 13:00:06.369 GMT+05:30 ,3313,3328, I , SpayFw_BinAttributeManager , needUpdate. [LOCAL] version is empty
2023-02-06 13:00:06.400 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = selectCard
2023-02-06 13:00:06.401 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 13:00:06.406 GMT+05:30 ,3313,3383, W , SpayFw_PaymentFrameworkHandler , handleMessage: PAYFW_OPT_SELECT_CARD
2023-02-06 13:00:06.406 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , loadTA()
2023-02-06 13:00:06.407 GMT+05:30 ,3313,3383, I , SpayFw_TAController , TA is already loaded
2023-02-06 13:00:06.407 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Calling loadPin()
2023-02-06 13:00:06.418 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , loadPin: Existing PIN len=4 ret=0
2023-02-06 13:00:06.419 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Existing PIN len: 4  pin exist: true
2023-02-06 13:00:06.419 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , TUI MSG:  pay_auth:24530960
2023-02-06 13:00:06.421 GMT+05:30 ,3313,3383, I , SpayFw_TAController , TA is already loaded
2023-02-06 13:00:06.422 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Ta is already loaded
2023-02-06 13:00:06.431 GMT+05:30 ,3313,3383, E , SpayFw_Utils , isReadable /sys/class/mstldo/mst_drv/support exists: false
2023-02-06 13:00:06.431 GMT+05:30 ,3313,3383, E , SpayFw_Utils , readFromFile Failed isReadable : /sys/class/mstldo/mst_drv/support
2023-02-06 13:00:06.431 GMT+05:30 ,3313,3383, I , SpayFw_StateMachine , state has changed from NPAY_READY to NPAY_SELECTED
2023-02-06 13:00:07.506 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = clearCard
2023-02-06 13:00:07.506 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 13:00:07.507 GMT+05:30 ,3313,3383, I , SpayFw_StateMachine , state has changed from NPAY_SELECTED to NPAY_READY
2023-02-06 13:00:07.508 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Calling closeTui
2023-02-06 13:00:07.515 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , TUI: unloadTA
2023-02-06 13:00:07.769 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = getConfig
2023-02-06 13:00:07.770 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 13:00:07.773 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = updateBinAttribute
2023-02-06 13:00:07.773 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 13:00:07.774 GMT+05:30 ,3313,3328, I , SpayFw_BinAttributeManager , needUpdate. [LOCAL] version is empty
2023-02-06 13:02:43.791 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = selectCard
